,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
15,Manisa Yunusemre 75.Yıl Mh.Kiralık 3+1 Dubleks 12 Nolu Daire,17.0,140.0,01-11-2023,2.0,0.0,1,75. Yıl,3 + 1,2.0,0.0,1.0,3.0,5.0
16,VALİLİK CİVARINDA 2 ODA 1 SALON 2.BALKON,12.0,115.0,12-11-2023,2.0,25.0,1,Sakarya,2 + 1,5.0,4.0,1.0,2.0,4.0
17,MANİSA-AKHİSAR-SATILIK DAİRE- HÜRRİYET MAHALLESİ.,10.0,140.0,13-11-2023,2.0,10.0,1,Hürriyet,3 + 1,3.0,1.0,2.0,3.0,5.0
18,Akhisar Atatürk Mahallesi'nde 2+1 Kiralık Daire,9.0,105.0,13-11-2023,1.0,1.0,2,Atatürk,2 + 1,2.0,0.0,2.0,2.0,4.0
19,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Arka Cephe 11 Nolu Daire,12.0,65.0,01-11-2023,2.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
20,UZUN EMLAK'TAN ŞEHİR MERKEZİNDE (SAKARYA) VALİLİK CİVARI,12.0,110.0,18-10-2023,2.0,25.0,1,Sakarya,3 + 1,5.0,4.0,1.0,3.0,4.0
21,laleli meydanı civarı eşyalı kiralık daire,7.5,90.0,07-11-2023,2.0,25.0,1,Hafsa Sultan,2 + 1,2.0,4.0,2.0,2.0,3.0
22,"Manisa Peker Mah.Tapu Yakını Aileye,Öğrenciye Eşyalı 3+1 Daire",16.0,150.0,13-11-2023,5.0,25.0,1,Peker,3 + 1,5.0,4.0,0.0,3.0,6.0
23,MANİSA LALELİ DE KİRALIK D.GAZLI 3+1 5.KAT KISMİ EŞYALI 11.000 TL,11.0,130.0,13-11-2023,5.0,23.0,1,Mesir,3 + 1,5.0,4.0,2.0,3.0,5.0
24,UZUN EMLAK'TAN AKHİSAR ATATÜRK MAHALLESİNDE OTOPARKLI SIFIR 3+1 DAİRE,12.5,138.0,12-11-2023,1.0,0.0,1,Atatürk,3 + 1,5.0,0.0,2.0,3.0,5.0
25,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Ön Cephe 18 Nolu Daire,14.0,65.0,01-11-2023,2.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
26,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Arka Cephe 10 Nolu Daire,14.0,68.0,01-11-2023,2.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
27,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Ön Cephe 17 Nolu Daire,14.0,65.0,01-11-2023,2.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
28,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Ön Cephe 8 Nolu Daire,12.0,70.0,01-11-2023,2.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,2.0
29,Manisa Yunusemre 75.Yıl Mh.Kiralık 3+1 Dubleks 16 Nolu Daire,17.0,140.0,01-11-2023,2.0,0.0,1,75. Yıl,3 + 1,2.0,0.0,1.0,3.0,5.0
30,GÜZELYURT MAH.EŞYALI KİRALIK 1+1,12.0,75.0,02-11-2023,10.0,5.0,1,Güzelyurt,1 + 1,4.0,0.0,0.0,1.0,2.0
31,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Yan Cephe 7 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
32,Manisa Yunusemre 75.Yıl Mh.Kiralık 3+1 Dubleks 15 Nolu Daire,17.0,140.0,01-11-2023,2.0,0.0,1,75. Yıl,3 + 1,2.0,0.0,1.0,3.0,5.0
33,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Yan Cephe 6 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
34,M / Ş gayrumenkulden  kiralık daire,7.5,120.0,09-11-2023,1.0,15.0,1,Eski Cami,3 + 1,4.0,2.0,2.0,3.0,4.0
35,75.yıl mahallesi kiralık müstakil triplex,25.0,200.0,08-11-2023,1.0,20.0,3,75. Yıl,4 + 2,1.0,3.0,1.0,4.0,6.0
36,ATAHİSAR SİTESİNDE KİRALIK DAİRE,7.5,125.0,27-10-2023,5.0,25.0,1,Reşat Bey,3 + 1,5.0,4.0,3.0,3.0,4.0
37,Manisa Meydan projesinde Kiralık 1+1 Bahçe Katı,12.5,45.0,23-09-2023,1.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
38,MANİSA  LALELİ MAH. 3+1 KİRALIK DAİRE,15.5,120.0,30-10-2023,2.0,25.0,1,Laleli,3 + 1,5.0,4.0,0.0,3.0,4.0
39,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Yan Cephe 5 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
40,Akhisar Hürriyet Mahallesi'nde 3+1 Kiralık Daire,8.5,130.0,13-11-2023,3.0,20.0,1,Hürriyet,3 + 1,3.0,3.0,2.0,3.0,5.0
41,Manisa Yunusemre 75.Yıl Mh.Kiralık 2+1 Dubleks 14 Nolu Daire,15.0,130.0,01-11-2023,2.0,0.0,1,75. Yıl,2 + 1,2.0,0.0,1.0,2.0,5.0
42,KİRALIK MANİSA DERE MAH.2+1 85 M² FULL EŞYALI DAİRE,15.0,85.0,27-10-2023,1.0,11.0,1,Dere,2 + 1,5.0,2.0,0.0,2.0,2.0
43,sahibinden dogalgazli 3+1karanlik odası daire,9.5,160.0,11-11-2023,2.0,13.0,2,Fatih,3 + 1,2.0,2.0,3.0,3.0,6.0
44,Turgutlu cumhuriyet mh gardalya sokakta Zemin üstü arakat 2+1,10.0,95.0,07-11-2023,2.0,18.0,1,Cumhuriyet,2 + 1,4.0,3.0,0.0,2.0,3.0
45,Manisa Meydan Sitesi Yarı Eşyalı 1+1 Daire Kiralık,11.0,48.0,11-11-2023,9.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
46,Manisa Meydan sitesinde 1+1 kiralık daire,14.0,56.0,06-11-2023,9.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
47,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Yan Cephe 4 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
48,ALİCAN GAYRİMENKULDEN 50. YIL MAH. KİRALIK DAİRE,9.0,110.0,02-11-2023,5.0,20.0,1,50. Yıl,2 + 1,5.0,3.0,2.0,2.0,4.0
49,KOÇAK'TAN AKGEDİK TOKİ'DE KİRALIK GENİŞ 3+1 DAİRE,12.5,148.0,10-11-2023,3.0,1.0,2,Akgedik,3 + 1,5.0,0.0,1.0,3.0,6.0
50,Manisa salihlide M/Ş gayrumenkulden kiralık lüx daire,17.0,140.0,01-11-2023,1.0,0.0,1,Yörük,3 + 1,4.0,0.0,1.0,3.0,5.0
51,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Yan Cephe 3 Nolu Daire,12.0,64.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 0,2.0,0.0,1.0,0.0,1.0
52,Manisa Startkey Elit2'den Park Manzara Evleri Kiralık Arakat Daire,20.0,160.0,07-11-2023,9.0,7.0,2,Cumhuriyet,3 + 1,4.0,1.0,0.0,3.0,6.0
53,EŞYALI KİRALIK 1+1 70 m2 Villalar Bölgesinde Havuzlu,12.0,75.0,10-11-2023,2.0,5.0,1,Muradiye,1 + 1,3.0,0.0,1.0,1.0,2.0
54,ÖZ ELİT EMLAK'TAN SÜRATYOLU ÜZERİNDE KİRALIK ASANSÖRLÜ 3+1 DOĞALGAZLI DAİRE,12.0,125.0,08-11-2023,4.0,25.0,1,Yeni Mahalle,3 + 1,6.0,4.0,0.0,3.0,4.0
55,ALİCAN GAYRİMENKULDEN KİRALIK AKMESCİT MAH. DAİRE,6.0,65.0,30-10-2023,1.0,30.0,1,Akmescit,1 + 1,5.0,5.0,1.0,1.0,1.0
56,MANİSA SALİHLİ NAMIK KEMAL MAH KİRALIK 3+1 JEOTERMAL ISITMALI DAİRE,8.0,145.0,10-11-2023,4.0,25.0,1,Namık Kemal,3 + 1,4.0,4.0,3.0,3.0,6.0
57,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Arka Cephe 2 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
58,Manisa M. Devlet Hastanesi Yanı Kiralık 3+1 Daire,12.0,120.0,10-11-2023,1.0,20.0,1,Merkez Efendi,3 + 1,5.0,3.0,2.0,3.0,4.0
59,Şehitler mh cumartesi pazari civari zemin üstü ara kat sıfır daire,10.0,115.0,07-11-2023,2.0,0.0,1,Şehitler,2 + 1,4.0,0.0,2.0,2.0,4.0
60,ÖZGÜN GM'DEN MANİSA MEYDAN'DA EŞYALI KİRALIK 1+1,14.0,45.0,09-11-2023,9.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
